triangle 56, vertex 1, index: 16, pos: p(1.18281,3.75525,0.172443)
triangle 56, vertex 2, index: 82, pos: p(1.50468,0.937038,0.242012)
triangle 57, vertex 0, index: 5, pos: p(-1.19901,3.74762,0.172443)
triangle 57, vertex 1, index: 81, pos: p(-1.52088,0.937038,0.242012)
triangle 57, vertex 2, index: 53, pos: p(-1.07027,2.80089,0.868129)
triangle 58, vertex 0, index: 82, pos: p(1.50468,0.937038,0.242012)
triangle 58, vertex 1, index: 16, pos: p(1.18281,3.75525,0.172443)
triangle 58, vertex 2, index: 18, pos: p(1.05406,2.80089,0.868129)
triangle 59, vertex 0, index: 83, pos: p(-1.26339,0.937038,0.728992)
triangle 59, vertex 1, index: 13, pos: p(-0.812772,1.17002,0.798561)
triangle 59, vertex 2, index: 12, pos: p(-0.684025,2.80089,0.868129)
triangle 60, vertex 0, index: 73, pos: p(0.66782,2.80089,0.868129)
triangle 60, vertex 1, index: 77, pos: p(0.796568,1.17002,0.798561)
triangle 60, vertex 2, index: 84, pos: p(1.24718,0.937038,0.728992)
triangle 61, vertex 0, index: 60, pos: p(0.860941,0.937038,-0.523243)
triangle 61, vertex 1, index: 62, pos: p(0.989689,3.76108,-0.1754)
triangle 61, vertex 2, index: 64, pos: p(1.24718,0.937038,-0.453674)
triangle 62, vertex 0, index: 0, pos: p(-0.877146,0.937038,-0.523243)
triangle 62, vertex 1, index: 4, pos: p(-1.26339,0.937038,-0.453674)
triangle 62, vertex 2, index: 1, pos: p(-1.00589,3.75368,-0.1754)
triangle 63, vertex 0, index: 24, pos: p(-0.619651,8.63582,-0.105832)
triangle 63, vertex 1, index: 51, pos: p(-0.877146,7.13459,-0.105832)
triangle 63, vertex 2, index: 25, pos: p(-0.812772,7.31741,0.31158)
triangle 64, vertex 0, index: 51, pos: p(-0.877146,7.13459,-0.105832)
triangle 64, vertex 1, index: 39, pos: p(-1.19901,3.74762,0.172443)
triangle 64, vertex 2, index: 25, pos: p(-0.812772,7.31741,0.31158)
triangle 65, vertex 0, index: 46, pos: p(0.860941,7.18182,-0.105831)
triangle 65, vertex 1, index: 37, pos: p(0.603447,8.63582,-0.105832)
triangle 65, vertex 2, index: 38, pos: p(0.796568,7.3681,0.31158)
triangle 66, vertex 0, index: 41, pos: p(1.18281,3.75525,0.172443)
triangle 66, vertex 1, index: 46, pos: p(0.860941,7.18182,-0.105831)
triangle 66, vertex 2, index: 38, pos: p(0.796568,7.3681,0.31158)
triangle 67, vertex 0, index: 18, pos: p(1.05406,2.80089,0.868129)
triangle 67, vertex 1, index: 73, pos: p(0.66782,2.80089,0.868129)
triangle 67, vertex 2, index: 84, pos: p(1.24718,0.937038,0.728992)
triangle 68, vertex 0, index: 84, pos: p(1.24718,0.937038,0.728992)
triangle 68, vertex 1, index: 82, pos: p(1.50468,0.937038,0.242012)
triangle 68, vertex 2, index: 18, pos: p(1.05406,2.80089,0.868129)
triangle 69, vertex 0, index: 81, pos: p(-1.52088,0.937038,0.242012)
triangle 69, vertex 1, index: 83, pos: p(-1.26339,0.937038,0.728992)
triangle 69, vertex 2, index: 53, pos: p(-1.07027,2.80089,0.868129)
triangle 70, vertex 0, index: 53, pos: p(-1.07027,2.80089,0.868129)
triangle 70, vertex 1, index: 83, pos: p(-1.26339,0.937038,0.728992)
triangle 70, vertex 2, index: 12, pos: p(-0.684025,2.80089,0.868129)
triangle 71, vertex 0, index: 85, pos: p(0.983335,11.3357,0.251451)
triangle 71, vertex 1, index: 86, pos: p(1.25321,11.2989,-0.074153)
triangle 71, vertex 2, index: 87, pos: p(1.06614,11.3918,-0.101725)
triangle 72, vertex 0, index: 87, pos: p(1.06614,11.3918,-0.101725)
triangle 72, vertex 1, index: 86, pos: p(1.25321,11.2989,-0.074153)
triangle 72, vertex 2, index: 88, pos: p(1.06267,11.3813,-0.102959)
triangle 73, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 73, vertex 1, index: 90, pos: p(0.678435,8.8524,0.328133)
triangle 73, vertex 2, index: 91, pos: p(0.677778,8.8522,0.328842)
triangle 74, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 74, vertex 1, index: 92, pos: p(0.675743,8.85131,0.331035)
triangle 74, vertex 2, index: 93, pos: p(0.675625,8.85126,0.331163)
triangle 75, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 75, vertex 1, index: 94, pos: p(0.683531,8.84939,0.32253)
triangle 75, vertex 2, index: 95, pos: p(0.683984,8.84941,0.322037)
triangle 76, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 76, vertex 1, index: 96, pos: p(0.687005,8.84973,0.318761)
triangle 76, vertex 2, index: 97, pos: p(0.689701,8.84996,0.315836)
triangle 77, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 77, vertex 1, index: 98, pos: p(0.694997,8.84941,0.310057)
triangle 77, vertex 2, index: 99, pos: p(0.69589,8.84941,0.309084)
triangle 78, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 78, vertex 1, index: 100, pos: p(0.696523,8.84911,0.308389)
triangle 78, vertex 2, index: 101, pos: p(0.697715,8.84876,0.307084)
triangle 79, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 79, vertex 1, index: 101, pos: p(0.697715,8.84876,0.307084)
triangle 79, vertex 2, index: 102, pos: p(0.698956,8.84962,0.30575)
triangle 80, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 80, vertex 1, index: 103, pos: p(0.678146,8.85519,0.328507)
triangle 80, vertex 2, index: 104, pos: p(0.679882,8.85451,0.326606)
triangle 81, vertex 0, index: 105, pos: p(0.681814,8.854,0.324494)
triangle 81, vertex 1, index: 106, pos: p(0.681962,8.85368,0.324327)
triangle 81, vertex 2, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 82, vertex 0, index: 89, pos: p(0.775532,8.99701,0.529611)
triangle 82, vertex 1, index: 107, pos: p(0.770708,9.44945,0.585258)
triangle 82, vertex 2, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 83, vertex 0, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 83, vertex 1, index: 109, pos: p(0.507611,8.85566,0.47357)
triangle 83, vertex 2, index: 110, pos: p(0.527172,8.85575,0.459217)
triangle 84, vertex 0, index: 111, pos: p(0.558709,8.85588,0.436086)
triangle 84, vertex 1, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 84, vertex 2, index: 112, pos: p(0.548339,8.85585,0.443701)
triangle 85, vertex 0, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 85, vertex 1, index: 113, pos: p(0.583959,8.85736,0.417599)
triangle 85, vertex 2, index: 114, pos: p(0.590264,8.85808,0.412982)
triangle 86, vertex 0, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 86, vertex 1, index: 115, pos: p(0.614729,8.86075,0.395094)
triangle 86, vertex 2, index: 116, pos: p(0.621829,8.86132,0.38989)
triangle 87, vertex 0, index: 117, pos: p(0.423404,8.85515,0.517077)
triangle 87, vertex 1, index: 118, pos: p(0.459519,8.85536,0.499712)
triangle 87, vertex 2, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 88, vertex 0, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 88, vertex 1, index: 119, pos: p(0.460846,8.85537,0.499075)
triangle 88, vertex 2, index: 120, pos: p(0.495633,8.85562,0.482348)
